#This file was generated on Sun Feb  5 20:24:29 2023
#Using the somd command, of the molecular library Sire version <2023.1.1> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 1250 moves, 10 cycles and 50 ps of simulation time
#Generating lambda is		 1.00000
#Alchemical array is     (0.0, 0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1.0)
#Generating temperature is 	298 K
#Energy was saved every 250 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
250 -1.24956066e+04 -1.31779190e+01 1.01326513e+00 9.86908530e-01 1.018108041858982e+02 6.608695865249251e+01 4.538194512389870e+01 2.951698297126100e+01 1.607747464984040e+01 4.680712481995229e+00 -4.495687937011072e+00 -1.111741107779775e+01 -1.478703606080130e+01
500 -1.24381357e+04 6.07159225e+00 9.93946803e-01 1.00609006e+00 1.416059918154689e+02 8.260354988095068e+01 5.659605168112086e+01 4.027652742816027e+01 2.784644757559753e+01 1.799732417173194e+01 1.064469027277648e+01 6.046430072493189e+00 4.580168960606491e+00
750 -1.23640670e+04 2.80166038e+01 9.72372222e-01 1.02841276e+00 8.873249838988252e+01 6.361311711854426e+01 4.766586816683822e+01 3.544815746307626e+01 2.565763568724513e+01 1.818951768879850e+01 1.329189200341591e+01 1.131500925214498e+01 1.265568075876213e+01
1000 -1.22696017e+04 5.00773936e+00 9.95004778e-01 1.00502030e+00 1.083006901051545e+02 7.417949324475512e+01 5.417286727224362e+01 3.921288444591446e+01 2.696890868628098e+01 1.702666074424240e+01 9.534469685526682e+00 4.806003154198359e+00 3.225808228104654e+00
1250 -1.21970948e+04 1.00199739e+01 9.90030059e-01 1.01007034e+00 1.045120127288260e+02 7.620410774263560e+01 5.879108347665750e+01 4.541311822453059e+01 3.436042977560849e+01 2.541448739245209e+01 1.879652685791679e+01 1.485567258731630e+01 1.399781555751262e+01
1500 -1.21136598e+04 -4.06393059e+00 1.00407220e+00 9.95944316e-01 1.356135081788226e+02 9.364393127303408e+01 7.125371010403090e+01 5.522775044015617e+01 4.219430424303570e+01 3.146593443665704e+01 2.311907146414562e+01 1.744997872369628e+01 1.483801137704375e+01
1750 -1.20783095e+04 -1.17881629e+00 1.00117951e+00 9.98821878e-01 1.060521356683463e+02 7.211994252947817e+01 5.234104025820078e+01 3.729796301577073e+01 2.476204350012716e+01 1.439570693431319e+01 6.384254280778754e+00 1.059281702592861e+00 -1.186530435633903e+00
2000 -1.19747283e+04 1.02410468e+01 9.89811214e-01 1.01029367e+00 1.107390245882536e+02 6.971502307734131e+01 4.874377341485897e+01 3.427665232003315e+01 2.282385404958512e+01 1.367310218789217e+01 6.907220748282217e+00 2.837547411834047e+00 1.866480490389676e+00
2250 -1.19155965e+04 1.80203280e+01 9.82141067e-01 1.01818367e+00 1.882368959420092e+02 8.712891305812322e+01 5.250223715228105e+01 3.493152627522804e+01 2.306301332599300e+01 1.428783222453604e+01 8.196054576931727e+00 4.959810994343195e+00 4.933068625667470e+00
2500 -1.19427895e+04 3.34972142e+01 9.67057605e-01 1.03406456e+00 7.257556084225884e+01 4.501158480157310e+01 2.853675352212200e+01 1.641396896593967e+01 6.929229711475716e+00 -1.492663066048585e-01 -4.610405597749661e+00 -6.112978686023557e+00 -4.254261062799667e+00
